profile,name,id
intel,Mult 2vCPU 8GB,m5.large
intel,Mult 4vCPU 16GB,m5.xlarge
intel,Mult 8vCPU 32GB,m5.2xlarge
intel,Mult 16vCPU 64GB,m5.4xlarge
intel,Mult 48vCPU 192GB,m5.12xlarge
intel,Mult 96vCPU 384GB,m5.24xlarge
intel,RAM 2vCPU 16GB,r5.large
intel,RAM 4vCPU 32GB,r5.xlarge
intel,RAM 8vCPU 64GB,r5.2xlarge
intel,RAM 16vCPU 128GB,r5.4xlarge
intel,RAM 48vCPU 384GB,r5.12xlarge
intel,RAM 96vCPU 768GB,r5.24xlarge
intel,Comp 2vCPU 4GB,c5.large
intel,Comp 4vCPU 8GB,c5.xlarge
intel,Comp 8vCPU 16GB,c5.2xlarge
intel,Comp 16vCPU 32GB,c5.4xlarge
intel,Comp 36vCPU 72GB,c5.9xlarge
intel,Comp 72vCPU 144GB,c5.18xlarge
amd,Mult 2vCPU 8GB,m5a.large
amd,Mult 4vCPU 16GB,m5a.xlarge
amd,Mult 8vCPU 32GB,m5a.2xlarge
amd,Mult 16vCPU 64GB,m5a.4xlarge
amd,Mult 48vCPU 192GB,m5a.12xlarge
amd,Mult 96vCPU 384GB,m5a.24xlarge
amd,RAM 2vCPU 16GB,r5a.large
amd,RAM 4vCPU 32GB,r5a.xlarge
amd,RAM 8vCPU 64GB,r5a.2xlarge
amd,RAM 16vCPU 128GB,r5a.4xlarge
amd,RAM 48vCPU 384GB,r5a.12xlarge
amd,RAM 96vCPU 768GB,r5a.24xlarge
old,Mult 2vCPU 8GB,m4.large
old,Mult 4vCPU 16GB,m4.xlarge
old,Mult 8vCPU 32GB,m4.2xlarge
old,Mult 16vCPU 64GB,m4.4xlarge
old,Mult 40vCPU 160GB,m5.10xlarge
old,Mult 64vCPU 256GB,m5.16xlarge
old,RAM 2vCPU 16GB,r4.large
old,RAM 4vCPU 32GB,r4.xlarge
old,RAM 8vCPU 64GB,r4.2xlarge
old,RAM 16vCPU 128GB,r4.4xlarge
old,RAM 32vCPU 256GB,r5.8xlarge
old,RAM 64vCPU 488GB,r5.16xlarge
old,Comp 2vCPU 3.75GB,c4.large
old,Comp 4vCPU 7.5GB,c4.xlarge
old,Comp 8vCPU 15GB,c4.2xlarge
old,Comp 16vCPU 30GB,c4.4xlarge
old,Comp 36vCPU 60GB,c4.8xlarge
